2016 Rank,,Armada,Hungrybox,Mango,Mew2King,Leffen,Plup,SFAT,Westballz,Axe,Shroomed,Swedish Delight,Wizzrobe,Ice,PewPewU,Duck,S2J,Nintendude,n0ne,Lucky,Silent Wolf,The Moon,ChuDat,DruggedFox,Professor Pro,Colbol,MacD,dizzkidboogie,MikeHaze,KirbyKaze,Wobbles,Zhu,aMSa,Laudandus,KJH,Gahtzu,Chillin,Javi,HugS,Bladewise,Abate,Gravy,Prince Abu,Santiago,Trif,Captain Faceroll,Connor,Infinite Numbers,Ryan Ford,Crush,Mafia,Slox,Rudolph,OverTriforce,lloD,Kels,Amsah,Cactuar,Zgetto,Rishi,Android,Captain Smuckers,DJ Nintendo,Zain,Syrox,Squid,Ka-Master,Medz,ARMY,SET COUNT VS. ALL,SET COUNT VS. >26,SET COUNT VS. 11-25,SET COUNT VS. 6-10,SET COUNT VS. 1-5
15,Duck,0-2,0-4,0-1,,1-1,0-2,1-1,0-1,3-2,1-1,0-1,0-1,,,X,,,0-1,,,2-0,,,1-0,,,0-1,,3-0,,,,,5-7,0-2,1-0,,,,,,2-0,,,,,,4-0,,,,,,0-1,1-0,,,,1-0,1-0,,1-0,,,,,2-0,,29 - 28,21 - 11,3 - 3,4 - 6,1 - 8
16,S2J,0-1,0-2,,0-2,,0-2,2-4,2-6,0-2,1-2,0-1,,2-0,1-2,,X,2-0,1-3,2-5,,0-2,0-1,2-2,1-0,2-0,2-0,2-0,4-0,,,,,,,1-0,1-0,,17-3,0-2,,,0-1,,,3-0,2-0,1-0,,0-1,,,,,,1-0,1-0,,,1-0,,1-0,,2-0,0-1,5-1,2-0,,5-0,69 - 46,51 - 9,13 - 16,5 - 16,0 - 5
17,Nintendude,,,,,,0-2,0-1,0-1,,0-1,0-1,,1-0,,,0-2,X,,,,,,0-1,1-0,,0-1,1-3,1-1,0-1,,1-0,,2-2,,,,,,,,,,,,,,,0-1,0-1,,1-0,,,,,1-0,,,,,0-1,,,,,1-0,,,10 - 20,8 - 11,2 - 4,0 - 5,0 - 0
18,n0ne,,0-2,,1-0,0-1,0-1,0-1,1-2,,,,,1-0,,1-0,3-1,,X,0-1,,1-0,,1-0,2-0,,2-0,0-3,,,,,,1-1,,1-0,,,2-3,0-2,0-1,1-0,2-0,,,,,,3-2,,1-0,,,,,0-1,2-0,,,,,,1-0,,1-1,,,1-0,,30 - 22,18 - 14,9 - 2,1 - 4,1 - 3
19,Lucky,,1-4,0-1,,,,6-7,4-4,0-1,,0-2,,0-1,2-1,,5-2,,1-0,X,,2-2,,0-1,1-0,1-1,4-0,0-1,3-1,,,,,1-0,1-0,,1-0,,4-5,1-0,,,,2-1,,8-0,,,2-0,,0-1,,,,1-0,,,,1-0,,,1-0,,1-0,2-1,9-2,,,2-0,57 - 40,44 - 12,12 - 10,10 - 12,1 - 6
20,Silent Wolf,,,,,,,,,,,0-1,,,,,,,,,X,,,,,,,,,,,,,,,,,,,6-2,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,7 - 3,7 - 2,0 - 0,0 - 1,0 - 0
21,The Moon,,0-1,0-1,0-2,0-1,,1-2,1-0,0-2,1-1,,0-1,0-3,,0-2,2-0,,0-1,2-2,,X,,0-1,,0-1,1-0,,,1-0,,,,,1-0,1-0,,1-0,0-2,,,,,,1-0,,,,1-0,,0-1,2-1,,2-1,,,1-0,1-0,,,,1-0,1-0,,1-0,,0-1,1-1,,24 - 28,17 - 7,4 - 11,3 - 5,0 - 5
22,ChuDat,0-3,0-3,3-0,3-1,0-1,0-1,1-0,,1-0,1-1,,1-1,,,,1-0,,,,,,X,0-1,1-0,,,,1-0,1-0,,1-0,,,,,,,,,,,1-0,1-0,1-0,,,,,1-1,,2-0,,,,,,,1-0,1-2,2-0,,,,,,,,,25 - 15,13 - 3,3 - 2,3 - 2,6 - 8
23,DruggedFox,0-1,0-2,0-1,,1-1,0-1,3-1,2-0,1-0,,2-0,0-4,2-2,,,2-2,1-0,0-1,1-0,,1-0,1-0,X, 2-2*,2-0,0-1,,2-0,1-0,,1-0,,,,,,,3-2,1-0,,,,1-0,1-1,,1-0,,3-0,3-0,,2-0,,,,,,,2-0,1-0,1-0,,,1-0,,,,,1-0,46 - 22,25 - 4,14 - 11,6 - 2,1 - 5
24,Professor Pro,0-1,0-2,,,0-1,,0-1,,,,,,,,0-1,,0-1,0-2,0-1,,,0-1, 2-2*,X,,,,,2-0,,,,,2-0,,1-0,,0-1,1-0,,,1-1,,1-1,,,,0-1,1-1,,,,3-1,,,0-3,,2-2,0-1,0-1,,,,0-1,,,,,16 - 27,14 - 14,2 - 8,0 - 1,0 - 4
